+----------+---------------------+--------+--------+--------------------+-----------------------+----------+-----------------------------------------------------------------+
| SEVERITY |        NAME         | ORIGIN |  TYPE  |      PACKAGE       |        VERSION        | FIXED BY |                              LINK                               |
| LOW      | CVE-2019-9192       | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-9192                       |
| LOW      | CVE-2023-52426      | os     | debian | libexpat1          | 2.5.0-1               |          | https://avd.aquasec.com/nvd/cve-2023-52426                      |
| LOW      | CVE-2024-28757      | os     | debian | libexpat1          | 2.5.0-1               |          | https://avd.aquasec.com/nvd/cve-2024-28757                      |
| LOW      | CVE-2022-27943      | os     | debian | libgcc-s1          | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2022-27943                      |
| LOW      | CVE-2018-6829       | os     | debian | libgcrypt20        | 1.10.1-3              |          | https://avd.aquasec.com/nvd/cve-2018-6829                       |
| LOW      | CVE-2011-3389       | os     | debian | libgnutls30        | 3.7.9-2+deb12u2       |          | https://avd.aquasec.com/nvd/cve-2011-3389                       |
| LOW      | CVE-2018-5709       | os     | debian | libgssapi-krb5-2   | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2018-5709                       |
| LOW      | CVE-2018-5709       | os     | debian | libk5crypto3       | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2018-5709                       |
| LOW      | CVE-2018-5709       | os     | debian | libkrb5-3          | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2018-5709                       |
| LOW      | CVE-2018-5709       | os     | debian | libkrb5support0    | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2018-5709                       |
| LOW      | CVE-2022-0563       | os     | debian | libmount1          | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2023-45918      | os     | debian | libncursesw6       | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-45918                      |
| LOW      | CVE-2022-0563       | os     | debian | libsmartcols1      | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2021-45346      | os     | debian | libsqlite3-0       | 3.40.1-2              |          | https://avd.aquasec.com/nvd/cve-2021-45346                      |
| LOW      | CVE-2007-6755       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2007-6755                       |
| LOW      | CVE-2010-0928       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2010-0928                       |
| LOW      | CVE-2024-2511       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2024-2511                       |
| LOW      | CVE-2022-27943      | os     | debian | libstdc++6         | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2022-27943                      |
| LOW      | CVE-2013-4392       | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2013-4392                       |
| LOW      | CVE-2023-31437      | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31437                      |
| LOW      | CVE-2023-31438      | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31438                      |
| LOW      | CVE-2023-31439      | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31439                      |
| LOW      | CVE-2023-45918      | os     | debian | libtinfo6          | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-45918                      |
| LOW      | CVE-2013-4392       | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2013-4392                       |
| LOW      | CVE-2023-31437      | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31437                      |
| LOW      | CVE-2023-31438      | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31438                      |
| LOW      | CVE-2023-31439      | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31439                      |
| LOW      | CVE-2022-0563       | os     | debian | libuuid1           | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2007-5686       | os     | debian | login              | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2007-5686                       |
| LOW      | CVE-2019-19882      | os     | debian | login              | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2019-19882                      |
| LOW      | CVE-2023-29383      | os     | debian | login              | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2023-29383                      |
| LOW      | TEMP-0628843-DBAD28 | os     | debian | login              | 1:4.13+dfsg1-1+b1     |          | https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28 |
| LOW      | CVE-2022-0563       | os     | debian | mount              | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2023-45918      | os     | debian | ncurses-base       | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-45918                      |
| LOW      | CVE-2023-45918      | os     | debian | ncurses-bin        | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-45918                      |
| LOW      | CVE-2007-6755       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2007-6755                       |
| LOW      | CVE-2010-0928       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2010-0928                       |
| LOW      | CVE-2024-2511       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2024-2511                       |
| LOW      | CVE-2007-5686       | os     | debian | passwd             | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2007-5686                       |
| LOW      | CVE-2019-19882      | os     | debian | passwd             | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2019-19882                      |
| LOW      | CVE-2023-29383      | os     | debian | passwd             | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2023-29383                      |
| LOW      | TEMP-0628843-DBAD28 | os     | debian | passwd             | 1:4.13+dfsg1-1+b1     |          | https://security-tracker.debian.org/tracker/TEMP-0628843-DBAD28 |
| LOW      | CVE-2011-4116       | os     | debian | perl-base          | 5.36.0-7+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2011-4116                       |
| LOW      | CVE-2023-31486      | os     | debian | perl-base          | 5.36.0-7+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31486                      |
| LOW      | TEMP-0517018-A83CE6 | os     | debian | sysvinit-utils     | 3.06-4                |          | https://security-tracker.debian.org/tracker/TEMP-0517018-A83CE6 |
| LOW      | CVE-2005-2541       | os     | debian | tar                | 1.34+dfsg-1.2+deb12u1 |          | https://avd.aquasec.com/nvd/cve-2005-2541                       |
| LOW      | TEMP-0290435-0B57B5 | os     | debian | tar                | 1.34+dfsg-1.2+deb12u1 |          | https://security-tracker.debian.org/tracker/TEMP-0290435-0B57B5 |
| LOW      | CVE-2022-0563       | os     | debian | util-linux         | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2022-0563       | os     | debian | util-linux-extra   | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
+----------+---------------------+--------+--------+--------------------+-----------------------+----------+-----------------------------------------------------------------+

